ID,cluster
2849,1
3021,1
2694,1
3096,1
2818,2
2725,2
2951,2
3285,2
3082,1
2832,1
2960,1
2800,1
2929,1
3029,1
2909,1
2880,1
2754,2
2872,1
3232,1
3184,1
2948,1
3277,1
3297,1
2925,1
3397,2
2939,1
3185,1
3115,1
2927,1
3426,1
3333,2
3394,1
3087,1
3236,1
3327,1
2675,1
2863,1
3296,2
3293,1
3384,1
3005,2
3039,1
3428,1
3139,1
3198,2
3417,1
2944,1
2738,1
3399,1
2777,1
2894,1
3320,1
2793,1
2787,2
3377,1
2778,1
3101,1
3214,1
3090,1
2729,1
3085,1
2966,1
3033,1
2919,1
2893,1
2771,1
2749,1
2986,1
2829,2
2711,2
2755,1
3149,1
2887,1
3247,1
3347,2
3065,1
3286,1
3419,1
3319,2
3046,2
2773,1
2666,1
2706,2
2940,1
2852,1
3226,1
3316,1
3050,1
2667,2
3117,1
3173,1
2913,1
2676,1
2878,2
3249,1
2897,2
3119,1
3204,1
3351,1
2801,1
3256,1
3191,2
3203,1
2846,1
3321,1
3124,1
2803,1
3280,1
3132,1
3207,2
3042,1
2963,1
2987,1
2946,2
3335,1
2697,1
3292,2
3026,1
2786,1
3170,1
2875,1
3047,1
3108,1
2750,1
2908,1
3412,2
3056,1
3025,1
2679,1
2756,1
3098,1
2906,1
3120,1
2916,1
2680,1
2742,1
3350,2
2716,1
3051,1
3240,1
3331,1
1405,1
2905,1
3145,1
3045,1
2789,1
3182,1
3434,1
3420,1
2730,1
3106,1
3307,1
2847,1
3396,2
2936,1
3361,2
2764,2
3018,1
3248,1
2856,1
3156,2
2843,1
2945,1
3257,1
3263,1
3057,2
2888,1
3287,2
2840,2
2731,1
2821,1
2985,1
2698,1
3360,1
2989,2
2683,1
3301,1
2907,1
2928,1
3385,1
2795,1
3239,1
2661,1
2910,1
3233,2
3244,1
3391,1
3049,1
3392,1
3193,2
3054,2
2690,1
2844,2
3252,1
3355,1
2718,1
3136,2
3152,1
3366,2
3346,1
2904,1
3150,1
3102,1
3169,1
3178,1
3208,1
3267,1
3116,2
3386,1
2665,2
3332,1
3243,1
2886,2
2999,2
2708,1
3016,1
3342,1
3022,1
3306,1
3298,1
3411,2
2833,1
2994,1
3416,1
3064,1
2689,1
3104,1
3364,1
3302,2
3291,1
2783,1
2734,2
2828,1
3353,2
3035,1
3043,1
2871,1
2739,2
3324,2
3339,1
3345,1
3299,1
2757,1
3288,1
3234,1
